Question,Choice1,Choice2,Choice3,Answer
어떤 사람이 보더라도 같은 의미로 통할 수 있는 그림으로 된 언어체계를 가리키는 말은?,픽토그램,인스타그램,이 문제는 맞히지그램,1
잘게 다진 문어가 들어간 공 모양의 빵으로 일본의 대표 간식은?,오코노미야키,야키니쿠,타코야키,3
50m 달리기 대회에 출전한 또똣은 막 3등을 추월했다. 또똣은 지금 몇 등일까?,1등,2등,3등,3
조선시대 진경산수화를 창안하고 완성한 화가는?,정선,장승업,신윤복,1
"테니스에서 0점은 러브, 1점은 피프틴이라고 한다. 그렇다면 2점은 뭐라고 할까?",서티,포티,듀스,3
신라의 학자 최치원이 '이곳' 절경에 반해 돌에 자신의 호를 새겨 넣은데서 이름이 붙여진 부산의 명소는?,해운대,범어사,감천문화마을,1
노래'스승의 은혜'의 맨 마지막 구절의 가사로 올바른 것은?,아아 보답하리 스승의 은혜,아아 고마워라 스승의 은혜,아아 보답하리 스승의 사랑,1
"전화를 이용하는 뱅킹 서비스로, ARS를 통해 안내를 듣고 서비스코드를 누르는 방식은?",펌뱅킹,텔레뱅킹,인터넷뱅킹,2
피클(Pickle)은 무엇을 뜻할까?,절인 음식,발효 식품,곁들임 음식,1
우리나라에서 운행됐던 열차의 이름이 아닌 것은?,통일호,진달래호,비둘기호,2
5월 15일 스승의 날은 누구의 생일일까?,세종대왕,흥선대원군,광개토대왕,1
다음중 세계 3대 박물관의 이름과 위치한 나라가 잘못 짝지어진 것은?,영국 - 대영 박물관,미국 - 뉴욕 주립박물관,프랑스 - 루브르 박물관,2
"사물, 사건, 사람 등의 특징을 잡아 희극적으로 풍자한 글이나 그림 또는 그런 표현법은?",캐리커처,스노우,포토샵,1
"관직 없이 한가롭게 사는 이', '돈 잘쓰고 잘 노는 이'를 비유적으로 이르는 이 말은?",백수,한량,우리오빠,2
게임 <슈퍼마리오>에서 마리오의 직업은?,자동차 정비사,정원사,배관공,3
게맛살의 주원료는?,명태,꽃게,오징어,1
아이돌 그룹 EXO의 노래 <으르렁>에서 '으르렁'이라는 가사는 몇 번 나오는가?,3번,36번,63번,2
빛의 3원색은?,"빨강, 초록, 파랑","노랑, 초록, 파랑","빨강, 노랑, 파랑",1
요즘 각종 상품 등에 자주 사용되는 '나노'의 어원은?,개미,난쟁이,먼지,2
알라딘의 요술 램프'의 알라딘은 어느나라 사람일까?,중국,태국,아랍,1
매우 적은 양으로 물질 대사나 생리 기능을 조절하는 필수적인 영야소는?,우라늄,플루토늄,비타민,3
